n_B_over_n0,T_MeV,R_star_fm
6.905685407454201,30.0,1.24957701
6.9454832596336065,30.0,1.23688403
6.985287428932407,30.0,1.22415606
7.025085281111814,30.0,1.21143802
7.064883133291219,30.0,1.198712
7.104680985470625,30.0,1.18598206
7.1444788376500314,30.0,1.17326919
7.1842830069488315,30.0,1.16055763
7.224080859128238,30.0,1.14787074
7.263878711307644,30.0,1.13521157
7.30367656348705,30.0,1.12256333
7.34348073278585,30.0,1.10994905
7.3832785849652565,30.0,1.09736982
7.423076437144663,30.0,1.08483046
7.462874289324068,30.0,1.07231583
7.502678458622867,30.0,1.05984809
7.542476310802275,30.0,1.04744504
7.5822741629816806,30.0,1.03507729
7.622072015161087,30.0,1.022764
7.661869867340493,30.0,1.01050776
7.701674036639292,30.0,0.998312556
7.741471888818699,30.0,0.986181171
7.7812697409981055,30.0,0.974129528
7.821067593177512,30.0,0.962132186
7.860871762476311,30.0,0.950205751
7.900669614655716,30.0,0.938367604
7.940467466835124,30.0,0.926590714
7.98026531901453,30.0,0.914905665
8.020069488313329,30.0,0.903301537
8.059867340492735,30.0,0.891780269
8.099665192672141,30.0,0.880343385
8.13946304485155,30.0,0.86899253
8.179267214150348,30.0,0.857731347
8.219065066329753,30.0,0.846572438
8.258862918509159,30.0,0.835492605
8.298660770688565,30.0,0.824519176
8.338458622867973,30.0,0.813629066
8.378262792166772,30.0,0.802847724
8.418060644346179,30.0,0.792163421
8.457858496525585,30.0,0.781578329
8.49765634870499,30.0,0.771104648
8.53746051800379,30.0,0.760721816
8.577258370183197,30.0,0.750440875
8.617056222362603,30.0,0.740273687
8.656854074542009,30.0,0.730200524
8.696658243840808,30.0,0.720242031
8.736456096020214,30.0,0.710389337
8.77625394819962,30.0,0.700642495
8.816051800379027,30.0,0.69100223
8.855855969677828,30.0,0.68145946
8.895653821857234,30.0,0.672033875
8.93545167403664,30.0,0.662716015
8.975249526216045,30.0,0.653505702
9.015047378395451,30.0,0.644404069
9.054851547694252,30.0,0.63541066
9.094649399873658,30.0,0.626525585
9.134447252053064,30.0,0.617740792
9.17424510423247,30.0,0.609072561
9.21404927353127,30.0,0.600512513
9.253847125710676,30.0,0.592053397
9.293644977890082,30.0,0.583702294
