T_MeV,phase,nBH_over_n0,R_star_fm,W_over_T,log10_tau_s
40.0,unpCFL,3.880936197094125,3.43621881,123.63499625,-21.823474481243576
40.0,unpCFL,3.92073594440935,3.43621881,123.2923925,-21.982150261700404
40.0,unpCFL,3.9605350600126346,3.43621881,122.93543525,-22.14651033126636
40.0,unpCFL,4.00033417561592,3.43621881,122.56721250000001,-22.315243185131354
40.0,unpCFL,4.040133922931144,3.43621881,122.18224000000001,-22.490701642275063
40.0,unpCFL,4.079933038534429,3.43621881,121.7772055,-22.6743147732323
40.0,unpCFL,4.119732154137713,3.43621881,121.35981875,-22.862787000281102
40.0,unpCFL,4.1595319014529375,3.43621881,120.920782,-23.060109181747745
40.0,unpCFL,4.199331017056222,3.43621881,120.46763475,-23.263063389691887
40.0,unpCFL,4.239130132659508,3.43621881,119.99182725,-23.475316387031903
40.0,unpCFL,4.278929879974732,3.43385558,119.49457875,-23.69597719375165
40.0,unpCFL,4.318728995578017,3.42582362,118.98329625,-23.921342303772647
40.0,unpCFL,4.358528742893241,3.41753401,118.4543765,-24.153821899070948
40.0,unpCFL,4.3983278584965255,3.40896136,117.90621300000001,-24.39410849100303
40.0,unpCFL,4.43812697409981,3.40009268,117.33805299999999,-24.642527766731487
40.0,unpCFL,4.477926721415035,3.39101303,116.75571849999999,-24.896607672054735
40.0,unpCFL,4.51772583701832,3.38160842,116.15170825,-25.15954823428211
40.0,unpCFL,4.557524952621605,3.37196598,115.53199275,-25.428815656087526
40.0,unpCFL,4.597324699936829,3.36207457,114.89596375,-25.704675405204036
40.0,unpCFL,4.6371238155401135,3.35183353,114.23709325,-25.989908525055885
40.0,unpCFL,4.676922931143398,3.34138631,113.56507724999999,-26.280396971144288
40.0,unpCFL,4.716722678458623,3.33057669,112.86974975000001,-26.580471645684856
40.0,unpCFL,4.756521794061908,3.31955509,112.16123574999999,-26.885830228834152
40.0,unpCFL,4.796320909665193,3.30817178,111.42987025,-27.200589432065357
40.0,unpCFL,4.836120656980417,3.29652829,110.68254775,-27.521821478095323
40.0,unpCFL,4.875919772583702,3.28462295,109.91935699999999,-27.849495527086784
40.0,unpCFL,4.915718888186986,3.27241597,109.13791925000001,-28.184626057976104
40.0,unpCFL,4.955518635502211,3.25990512,108.33832875,-28.527180595706522
40.0,unpCFL,4.995317751105496,3.2471002,107.52146175,-28.876789638663116
40.0,unpCFL,5.035116866708781,3.2340109,106.6881885,-29.233087431462884
40.0,unpCFL,5.074916614024005,3.22058621,105.83549250000002,-29.59736489985708
40.0,unpCFL,5.11471572962729,3.20693458,104.97058575000001,-29.966558487057274
40.0,unpCFL,5.154514845230575,3.1929717,104.08832075000001,-30.342860351697944
40.0,unpCFL,5.194314592545799,3.1786964,103.18890575,-30.72619062933447
40.0,unpCFL,5.234113708149084,3.16412434,102.27363125000001,-31.11600305069976
40.0,unpCFL,5.273912823752369,3.14930853,101.346108,-31.510768859971993
40.0,unpCFL,5.313712571067593,3.13416474,100.40131099999999,-31.91262849907442
40.0,unpCFL,5.353511686670878,3.11875242,99.44327475,-32.319870371923976
40.0,unpCFL,5.393310802274163,3.1030209,98.4691205,-32.733729465568935
40.0,unpCFL,5.433110549589387,3.08703964,97.48347125000001,-33.15223916555851
40.0,unpCFL,5.472909665192672,3.07076319,96.48380025,-33.57648022180273
40.0,unpCFL,5.512708780795958,3.05424628,95.4737715,-34.004901037280284
40.0,unpCFL,5.552508528111181,3.0374044,94.44850325,-34.43958549844605
40.0,unpCFL,5.592307643714466,3.02034566,93.4148955,-34.877599643118764
40.0,unpCFL,5.632106759317751,3.00297703,92.36759175,-35.321226511019745
40.0,unpCFL,5.6719065066329755,2.98535729,91.3104565,-35.76882765126858
40.0,unpCFL,5.711705622236261,2.96744343,90.24122224999999,-36.221376535293636
40.0,unpCFL,5.751504737839546,2.94929334,89.1636505,-36.67727357593444
40.0,unpCFL,5.791304485154769,2.9309121,88.07831525,-37.13628407961839
40.0,unpCFL,5.831103600758055,2.91226215,86.98330150000001,-37.59922500921219
40.0,unpCFL,5.870902716361339,2.89339706,85.88204075,-38.06463809550033
40.0,unpCFL,5.9107024636765635,2.87427553,84.77241000000001,-38.53342978344754
40.0,unpCFL,5.950501579279849,2.85490817,83.65532950000001,-39.005218885926645
40.0,unpCFL,5.990300694883134,2.8353014,82.5314665,-39.47971753253169
40.0,unpCFL,6.030100442198358,2.81550423,81.40390099999999,-39.95562941614416
40.0,unpCFL,6.069899557801643,2.79548061,80.27083925,-40.43371014469984
40.0,unpCFL,6.109699305116867,2.77527883,79.13527074999999,-40.912701236499785
40.0,unpCFL,6.149498420720152,2.75482049,77.99307300000001,-41.394350216716525
40.0,unpCFL,6.189297536323437,2.73420258,76.849921,-41.87624948631668
40.0,unpCFL,6.22909728363866,2.71337966,75.703535,-42.35937398591708
40.0,unpCFL,6.268896399241946,2.69236352,74.55482425,-42.8433374865594
40.0,unpCFL,6.308695514845231,2.67120574,73.40682675000001,-43.326848365935284
40.0,unpCFL,6.348496525584333,2.64986344,72.25743750000001,-43.81080603405417
40.0,unpCFL,6.3882943777637395,2.62834875,71.10754975,-44.29482684402559
40.0,unpCFL,6.428092229943147,2.60671215,69.960053,-44.777692150280004
40.0,unpCFL,6.467890082122553,2.58491264,68.8129735,-45.26023745091008
40.0,unpCFL,6.507694251421352,2.56296266,67.66717725,-45.74209509911775
40.0,unpCFL,6.547492103600758,2.54090529,66.5250905,-46.22223609438328
40.0,unpCFL,6.587289955780164,2.51874975,65.38733475000001,-46.70040011034742
40.0,unpCFL,6.62708780795957,2.49646586,64.2525215,-47.1771710422843
40.0,unpCFL,6.666891977258371,2.47405394,63.12084599999999,-47.65247073509892
40.0,unpCFL,6.706689829437776,2.45156395,61.99497675,-48.125166144665144
