flavor_mode,phase,nBH_over_n0,T_nuc_MeV
saddlepoint,cfl,9.17424510423247,1.8773830071142243
saddlepoint,cfl,9.21404927353127,1.8538940137664932
saddlepoint,cfl,9.253847125710676,1.8317476794499283
saddlepoint,cfl,9.293644977890082,1.8108480804111293
saddlepoint,cfl,9.333442830069488,1.7910904378180788
saddlepoint,cfl,9.373246999368288,1.7723835162022294
saddlepoint,cfl,9.413044851547696,1.754633886776919
saddlepoint,cfl,9.452842703727102,1.7377976437045988
saddlepoint,cfl,9.492640555906506,1.7217810457813736
saddlepoint,cfl,9.532438408085913,1.706553900189807
saddlepoint,cfl,9.572242577384712,1.6918424276789426
saddlepoint,cfl,9.61204042956412,1.6773483780819376
saddlepoint,cfl,9.651838281743526,1.6635001825169788
saddlepoint,cfl,9.691636133922932,1.6502411470964413
saddlepoint,cfl,9.731440303221731,1.6375485183949792
saddlepoint,cfl,9.771238155401138,1.6253915245992663
saddlepoint,cfl,9.811036007580544,1.6137411932811103
saddlepoint,cfl,9.85083385975995,1.6025707016324002
saddlepoint,cfl,9.89063802905875,1.591855184827216
saddlepoint,cfl,9.930435881238155,1.5815706056749237
saddlepoint,cfl,9.970233733417562,1.57169585693454
saddlepoint,cfl,10.010031585596968,1.5622102235947095
saddlepoint,cfl,10.049835754895767,1.5530946190820667
saddlepoint,cfl,10.089633607075173,1.54432616981415
saddlepoint,cfl,10.12943145925458,1.5358958554775273
saddlepoint,cfl,10.169229311433986,1.5277866093245047
saddlepoint,unpCFL,0.1,96.75091136356396
saddlepoint,unpCFL,0.13979930511686672,91.45007000733925
saddlepoint,unpCFL,0.17959867340492736,86.94639123612055
saddlepoint,unpCFL,0.21939797852179407,83.06136344615653
saddlepoint,unpCFL,0.25919734680985473,79.6773121946441
saddlepoint,unpCFL,0.2989966519267214,76.71029487299212
saddlepoint,unpCFL,0.33879595704358817,74.09614912306422
saddlepoint,unpCFL,0.3785953253316488,71.78345356873703
saddlepoint,unpCFL,0.4183946304485155,69.7295988081163
saddlepoint,unpCFL,0.4581939987365761,67.89863702257811
saddlepoint,unpCFL,0.49799330385344287,66.2598241732868
saddlepoint,unpCFL,0.5377926721415035,64.78702740142627
saddlepoint,unpCFL,0.5775919772583702,63.457308944146604
saddlepoint,unpCFL,0.6173912823752369,62.25202668540388
saddlepoint,unpCFL,0.6571907770056854,61.15482253370009
saddlepoint,unpCFL,0.6969898926089704,60.150491117882616
saddlepoint,unpCFL,0.7367890082122552,59.227686537549204
saddlepoint,unpCFL,0.7765887555274795,58.37653354036654
saddlepoint,unpCFL,0.8163878711307644,57.58639575270438
saddlepoint,unpCFL,0.8561869867340492,56.85031503866604
saddlepoint,unpCFL,0.8959867340492736,56.1648555408199
saddlepoint,unpCFL,0.9357858496525585,55.5245783549699
