prescription,R_fm,W_MeV
LCN,1.1723847695390783,1408.741743997813
LCN,1.1963927855711423,1460.2368985439796
LCN,1.2204008016032064,1512.3629159998086
LCN,1.2444088176352706,1565.1033865711083
LCN,1.2684168336673347,1618.4419004636893
LCN,1.2924248496993989,1672.3620478833604
LCN,1.316432865731463,1726.8474190359314
LCN,1.3404408817635272,1781.8816041272125
LCN,1.3644488977955913,1837.4481933630123
LCN,1.3884569138276555,1893.5307769491415
LCN,1.4124649298597196,1950.1129450914095
LCN,1.4364729458917835,2007.1782879956254
LCN,1.4604809619238477,2064.710395867599
LCN,1.4844889779559118,2122.6928589131403
LCN,1.508496993987976,2181.1092673380595
LCN,1.5325050100200401,2239.943211348165
LCN,1.5565130260521043,2299.1782811492667
LCN,1.5805210420841684,2358.7980669471754
LCN,1.6045290581162326,2418.786158947699
LCN,1.6285370741482967,2479.1261473566483
LCN,1.6525450901803609,2539.801622379833
LCN,1.676553106212425,2600.796174223062
LCN,1.700561122244489,2662.0933930921447
LCN,1.7245691382765531,2723.676869192893
LCN,1.7485771543086173,2785.530192731114
LCN,1.7725851703406814,2847.6369539126185
LCN,1.7965931863727456,2909.980742943216
LCN,1.8206012024048097,2972.545150028716
LCN,1.8446092184368739,3035.313765374928
LCN,1.868617234468938,3098.270179187662
LCN,1.8926252505010022,3161.397981672728
LCN,1.9166332665330663,3224.680763035935
LCN,1.9406412825651302,3288.1021134830917
LCN,1.9646492985971944,3351.64562322001
LCN,1.9886573146292585,3415.2948824524974
LCN,2.0126653306613225,3479.0334813863647
LCN,2.036673346693387,3542.845010227423
LCN,2.060681362725451,3606.713059181479
LCN,2.084689378757515,3670.6212184543438
LCN,2.108697394789579,3734.553078251827
LCN,2.1327054108216434,3798.492228779738
LCN,2.1567134268537074,3862.4222602438867
LCN,2.1807214428857717,3926.326762850082
LCN,2.2047294589178357,3990.1893268041354
LCN,2.2287374749499,4053.9935423118554
LCN,2.252745490981964,4117.722999579049
LCN,2.2767535070140283,4181.361288811532
LCN,2.3007615230460923,4244.892000215108
LCN,2.3247695390781566,4308.298723995591
LCN,2.3487775551102206,4371.565050358788
LCN,2.3727855711422845,4434.674569510507
LCN,2.396793587174349,4497.610871656565
LCN,2.420801603206413,4560.357547002762
LCN,2.444809619238477,4622.898185754915
LCN,2.468817635270541,4685.21637811883
LCN,2.4928256513026055,4747.295714300317
LCN,2.5168336673346694,4809.1197845051865
LCN,2.5408416833667338,4870.6721789392495
LCN,2.5648496993987977,4931.936487808312
LCN,2.5888577154308616,4992.896301318188
LCN,2.612865731462926,5053.535209674681
LCN,2.63687374749499,5113.83680308361
LCN,2.6608817635270543,5173.7846717507755
LCN,2.6848897795591182,5233.3624058819905
LCN,2.7088977955911826,5292.553595683067
LCN,2.7329058116232465,5351.34183135981
LCN,2.756913827655311,5409.710703118034
LCN,2.780921843687375,5467.643801163545
LCN,2.804929859719439,5525.124715702155
LCN,2.828937875751503,5582.137036939673
LCN,2.852945891783567,5638.664355081906
LCN,2.8769539078156314,5694.690260334665
LCN,2.9009619238476954,5750.198342903766
LCN,2.9249699398797597,5805.17219299501
LCN,2.9489779559118237,5859.595400814209
LCN,2.972985971943888,5913.4515565671745
LCN,2.996993987975952,5966.724250459715
LCN,3.0210020040080163,6019.397072697642
LCN,3.0450100200400803,6071.453613486761
LCN,3.0690180360721446,6122.877463032884
LCN,3.0930260521042086,6173.652211541825
LCN,3.1170340681362725,6223.761449219383
LCN,3.141042084168337,6273.188766271379
LCN,3.165050100200401,6321.917752903615
LCN,3.189058116232465,6369.931999321902
LCN,3.213066132264529,6417.215095732055
LCN,3.2370741482965935,6463.750632339874
LCN,3.2610821643286574,6509.522199351178
LCN,3.2850901803607218,6554.513386971776
LCN,3.3090981963927857,6598.7077854074705
LCN,3.33310621242485,6642.0889848640745
LCN,3.357114228456914,6684.640575547398
LCN,3.381122244488978,6726.346147663254
LCN,3.4051302605210423,6767.1892914174505
LCN,3.429138276553106,6807.15359701579
LCN,3.4531462925851706,6846.222654664092
LCN,3.4771543086172345,6884.380054568161
LCN,3.501162324649299,6921.609386933806
LCN,3.525170340681363,6957.89424196684
LCN,3.549178356713427,6993.218209873072
LCN,3.573186372745491,7027.564880858308
LCN,3.5971943887775555,7060.917845128364
LCN,3.6212024048096194,7093.26069288904
LCN,3.6452104208416833,7124.577014346158
LCN,3.6692184368737477,7154.850399705514
LCN,3.6932264529058116,7184.064439172933
LCN,3.717234468937876,7212.202722954215
LCN,3.74124248496994,7239.248841255165
LCN,3.7652505010020043,7265.186384281604
LCN,3.7892585170340682,7289.998942239337
LCN,3.8132665330661326,7313.670105334169
LCN,3.8372745490981965,7336.1834637719185
LCN,3.8612825651302605,7357.522607758387
LCN,3.885290581162325,7377.671127499387
LCN,3.9092985971943888,7396.612613200728
LCN,3.933306613226453,7414.330655068225
LCN,3.957314629258517,7430.808843307677
LCN,3.9813226452905814,7446.030768124901
LCN,4.005330661322645,7459.98001972571
LCN,4.029338677354709,7472.640188315903
LCN,4.053346693386773,7483.994864101302
LCN,4.077354709418837,7494.027637287705
LCN,4.101362725450902,7502.722098080925
LCN,4.125370741482966,7510.06183668678
LCN,4.14937875751503,7516.030443311067
LCN,4.173386773547094,7520.611508159607
LCN,4.197394789579158,7523.788621438198
LCN,4.2214028056112225,7525.545373352663
LCN,4.245410821643286,7525.865354108802
